Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
Model:,LI-7810,,,,,,,,,,,,,,,,,,,,
SN:,TG10-01593,,,,,,,,,,,,,,,,,,,,
Software Version:,2.3.8,,,,,,,,,,,,,,,,,,,,
Timestamp:,2023-10-09 09:55:56,,,,,,,,,,,,,,,,,,,,
Timezone:,US/Eastern,,,,,,,,,,,,,,,,,,,,
DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1696859785,112380027,125,256,,2023-10-09,09:56:25,nan,nan,nan,101.397,21.4958,101.069,37.3027,0,0,21.3651,-16000,0,16.1914,146
DATA,1696859786,112380027,129,256,,2023-10-09,09:56:26,nan,nan,nan,101.397,21.5147,101.069,37.3027,0,0,21.3845,-16000,0,16.189,103
DATA,1696859787,112380027,133,256,,2023-10-09,09:56:27,nan,nan,nan,101.398,21.5333,101.069,37.3027,0,0,21.4026,-16000,0,16.1863,138
DATA,1696859788,112380027,137,256,,2023-10-09,09:56:28,nan,nan,nan,101.397,21.5541,101.068,37.3032,0,0,21.4222,-16000,0,16.1835,136
DATA,1696859789,112380027,141,256,,2023-10-09,09:56:29,nan,nan,nan,101.399,21.5758,101.07,37.3034,0,0,21.4422,-16000,0,16.1816,93
DATA,1696859790,112380027,145,256,,2023-10-09,09:56:30,nan,nan,nan,101.398,21.5983,101.068,37.3034,0,0,21.4627,-16000,0,16.1792,145
DATA,1696859791,112380027,149,256,,2023-10-09,09:56:31,nan,nan,nan,101.396,21.621,101.068,37.3034,0,0,21.4838,-16000,0,16.1773,88
DATA,1696859792,112070083,153,256,,2023-10-09,09:56:32,nan,nan,nan,101.397,21.6443,101.068,37.3034,0,0,21.5046,-16000,0,16.1757,134
DATA,1696859793,112070083,157,256,,2023-10-09,09:56:33,nan,nan,nan,101.396,21.6685,101.068,37.3042,0,0,21.5251,-16000,0,16.1737,142
DATA,1696859794,112070083,161,256,,2023-10-09,09:56:34,nan,nan,nan,101.397,21.6921,101.067,37.3042,0,0,21.546,-16000,0,16.1718,85
DATA,1696859795,112070083,165,256,,2023-10-09,09:56:35,nan,nan,nan,101.397,21.7147,101.068,37.3042,0,0,21.5661,-16000,0,16.1694,147
DATA,1696859796,112070083,169,256,,2023-10-09,09:56:36,nan,nan,nan,101.398,21.7376,101.069,37.3044,0,0,21.5863,-16000,0,16.1686,166
DATA,1696859797,112070083,173,256,,2023-10-09,09:56:37,nan,nan,nan,101.398,21.7614,101.069,37.305,0,0,21.6073,-16000,0,16.1671,95
DATA,1696859798,112070083,177,256,,2023-10-09,09:56:38,nan,nan,nan,101.399,21.785,101.07,37.305,0,0,21.6286,-16000,0,16.1659,12
DATA,1696859799,111782073,181,256,,2023-10-09,09:56:39,nan,nan,nan,101.399,21.8084,101.069,37.305,0,0,21.6498,-16000,0,16.1635,120
DATA,1696859800,111782073,185,256,,2023-10-09,09:56:40,nan,nan,nan,101.399,21.832,101.07,37.305,0,0,21.672,-16000,0,16.162,130
DATA,1696859801,111782073,189,256,,2023-10-09,09:56:41,nan,nan,nan,101.398,21.8561,101.069,37.3058,0,0,21.6933,-16000,0,16.1604,150
DATA,1696859802,111782073,193,256,,2023-10-09,09:56:42,nan,nan,nan,101.397,21.8793,101.068,37.3058,0,0,21.7148,-16000,0,16.1588,162
DATA,1696859803,111782073,197,256,,2023-10-09,09:56:43,nan,nan,nan,101.397,21.902,101.066,37.3058,0,0,21.7363,-16000,0,16.1569,100
DATA,1696859804,111782073,201,256,,2023-10-09,09:56:44,nan,nan,nan,101.397,21.9232,101.066,37.3058,0,0,21.7561,-16000,0,16.1557,138
DATA,1696859805,111782073,205,256,,2023-10-09,09:56:45,nan,nan,nan,101.397,21.9457,101.067,37.3062,0,0,21.7776,-16000,0,16.1545,154
DATA,1696859806,111782073,209,256,,2023-10-09,09:56:46,nan,nan,nan,101.396,21.9684,101.065,37.3066,0,0,21.7992,-16000,0,16.1514,159
DATA,1696859807,111470937,213,256,,2023-10-09,09:56:47,nan,nan,nan,101.394,21.9907,101.065,37.3066,0,0,21.8209,-16000,0,16.1518,151
DATA,1696859808,111470937,217,256,,2023-10-09,09:56:48,nan,nan,nan,101.394,22.0128,101.065,37.3066,0,0,21.8429,-16000,0,16.1506,145
DATA,1696859809,111470937,221,256,,2023-10-09,09:56:49,nan,nan,nan,101.394,22.0356,101.064,37.3068,0,0,21.8648,-16000,0,16.149,103
DATA,1696859810,111470937,225,256,,2023-10-09,09:56:50,nan,nan,nan,101.393,22.0574,101.064,37.3074,0,0,21.8865,-16000,0,16.1482,139
DATA,1696859811,111470937,229,256,,2023-10-09,09:56:51,nan,nan,nan,101.393,22.0786,101.062,37.3074,0,0,21.9081,-16000,0,16.1467,142
DATA,1696859812,111470937,233,256,,2023-10-09,09:56:52,nan,nan,nan,101.394,22.0993,101.064,37.3074,0,0,21.929,-16000,0,16.1455,93
DATA,1696859813,111470937,237,256,,2023-10-09,09:56:53,nan,nan,nan,101.392,22.1195,101.062,37.3078,0,0,21.9498,-16000,0,16.1439,154
DATA,1696859814,111181974,241,256,,2023-10-09,09:56:54,nan,nan,nan,101.393,22.1407,101.063,37.3082,0,0,21.9714,-16000,0,16.1427,132
DATA,1696859815,111181974,245,256,,2023-10-09,09:56:55,nan,nan,nan,101.392,22.1615,101.061,37.3082,0,0,21.993,-16000,0,16.1419,89
DATA,1696859816,111181974,249,256,,2023-10-09,09:56:56,nan,nan,nan,101.392,22.182,101.061,37.3082,0,0,22.0147,-16000,0,16.1408,83
DATA,1696859817,111181974,253,256,,2023-10-09,09:56:57,nan,nan,nan,101.392,22.2034,101.061,37.3086,0,0,22.0372,-16000,0,16.1396,136
DATA,1696859818,111181974,257,256,,2023-10-09,09:56:58,nan,nan,nan,101.39,22.224,101.059,37.309,0,0,22.0588,-16000,0,16.138,207
DATA,1696859819,111181974,261,256,,2023-10-09,09:56:59,nan,nan,nan,101.389,22.2443,101.058,37.309,0,0,22.0805,-16000,0,16.1372,97
DATA,1696859820,111181974,265,256,,2023-10-09,09:57:00,nan,nan,nan,101.39,22.2639,101.059,37.309,0,0,22.1014,-16000,0,16.1361,23
