Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
Model:,LI-7810,,,,,,,,,,,,,,,,,,,,
SN:,TG10-01593,,,,,,,,,,,,,,,,,,,,
Software Version:,2.3.8,,,,,,,,,,,,,,,,,,,,
Timestamp:,2023-07-06 12:50:04,,,,,,,,,,,,,,,,,,,,
Timezone:,US/Eastern,,,,,,,,,,,,,,,,,,,,
DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1688662232,38789033,121,256,,2023-07-06,12:50:32,nan,nan,nan,101.374,25.653,101.031,37.4037,0,0,25.6537,-16000,0,16.6386, 28
DATA,1688662233,38789033,125,256,,2023-07-06,12:50:33,nan,nan,nan,101.375,25.6537,101.032,37.4037,0,0,25.6543,-16000,0,16.6382, 84
DATA,1688662234,38789033,129,256,,2023-07-06,12:50:34,nan,nan,nan,101.376,25.6542,101.033,37.4037,0,0,25.6552,-16000,0,16.6382, 88
DATA,1688662235,38789033,133,256,,2023-07-06,12:50:35,nan,nan,nan,101.376,25.6547,101.033,37.4037,0,0,25.656,-16000,0,16.6379, 47
DATA,1688662236,38789033,137,256,,2023-07-06,12:50:36,nan,nan,nan,101.374,25.6553,101.031,37.4037,0,0,25.6567,-16000,0,16.6375, 97
DATA,1688662237,38789033,141,256,,2023-07-06,12:50:37,nan,nan,nan,101.374,25.6558,101.032,37.4037,0,0,25.6574,-16000,0,16.6375, 98
DATA,1688662238,38789033,145,256,,2023-07-06,12:50:38,nan,nan,nan,101.374,25.6567,101.032,37.4037,0,0,25.6582,-16000,0,16.4374,100
DATA,1688662239,38789033,149,256,,2023-07-06,12:50:39,nan,nan,nan,101.376,25.6631,101.032,37.4037,0,0,25.6602,-16000,0,16.3228, 90
DATA,1688662240,38480997,153,256,,2023-07-06,12:50:40,nan,nan,nan,101.374,25.6759,101.031,37.4037,0,0,25.6683,-16000,0,16.3185, 95
DATA,1688662241,38480997,157,256,,2023-07-06,12:50:41,nan,nan,nan,101.375,25.6906,101.031,37.4037,0,0,25.6816,-16000,0,16.3146, 91
DATA,1688662242,38480997,161,256,,2023-07-06,12:50:42,nan,nan,nan,101.377,25.7066,101.033,37.4037,0,0,25.6988,-16000,0,16.3114, 95
DATA,1688662243,38480997,165,256,,2023-07-06,12:50:43,nan,nan,nan,101.377,25.7243,101.033,37.4037,0,0,25.7178,-16000,0,16.3083, 95
DATA,1688662244,38480997,169,256,,2023-07-06,12:50:44,nan,nan,nan,101.378,25.7423,101.034,37.4037,0,0,25.7377,-16000,0,16.3059,107
DATA,1688662245,38480997,173,256,,2023-07-06,12:50:45,nan,nan,nan,101.378,25.761,101.034,37.4037,0,0,25.7564,-16000,0,16.3032, 43
DATA,1688662246,38480997,177,256,,2023-07-06,12:50:46,nan,nan,nan,101.38,25.7803,101.034,37.4037,0,0,25.7753,-16000,0,16.3004, 45
DATA,1688662247,38168907,181,256,,2023-07-06,12:50:47,nan,nan,nan,101.379,25.8017,101.035,37.4037,0,0,25.7953,-16000,0,16.2981,106
DATA,1688662248,38168907,185,256,,2023-07-06,12:50:48,nan,nan,nan,101.379,25.8234,101.033,37.4037,0,0,25.8155,-16000,0,16.2957,109
DATA,1688662249,38168907,189,256,,2023-07-06,12:50:49,nan,nan,nan,101.378,25.8458,101.033,37.4037,0,0,25.836,-16000,0,16.2938, 71
DATA,1688662250,38168907,193,256,,2023-07-06,12:50:50,nan,nan,nan,101.379,25.8688,101.034,37.4037,0,0,25.8567,-16000,0,16.2918,112
DATA,1688662251,38168907,197,256,,2023-07-06,12:50:51,nan,nan,nan,101.38,25.8929,101.036,37.4037,0,0,25.8774,-16000,0,16.2899, 70
DATA,1688662252,38168907,201,256,,2023-07-06,12:50:52,nan,nan,nan,101.38,25.9166,101.035,37.4037,0,0,25.8991,-16000,0,16.2883, 45
DATA,1688662253,38168907,205,256,,2023-07-06,12:50:53,nan,nan,nan,101.38,25.939,101.034,37.4037,0,0,25.9193,-16000,0,16.2863,250
DATA,1688662254,38168907,209,256,,2023-07-06,12:50:54,nan,nan,nan,101.38,25.9617,101.035,37.4037,0,0,25.9391,-16000,0,16.2851, 48
DATA,1688662255,37862062,213,256,,2023-07-06,12:50:55,nan,nan,nan,101.384,25.9857,101.038,37.4037,0,0,25.9605,-16000,0,16.2836, 99
DATA,1688662256,37862062,217,256,,2023-07-06,12:50:56,nan,nan,nan,101.382,26.0091,101.037,37.4037,0,0,25.9818,-16000,0,16.282, 35
DATA,1688662257,37862062,221,256,,2023-07-06,12:50:57,nan,nan,nan,101.382,26.0326,101.037,37.4037,0,0,26.003,-16000,0,16.2804, 13
DATA,1688662258,37862062,225,256,,2023-07-06,12:50:58,nan,nan,nan,101.383,26.0568,101.039,37.4037,0,0,26.0245,-16000,0,16.2793, 93
DATA,1688662259,37862062,229,256,,2023-07-06,12:50:59,nan,nan,nan,101.381,26.0806,101.036,37.4037,0,0,26.046,-16000,0,16.2777, 42
DATA,1688662260,37862062,233,256,,2023-07-06,12:51:00,nan,nan,nan,101.38,26.1038,101.036,37.4037,0,0,26.0685,-16000,0,16.2765, 19
DATA,1688662261,37862062,237,256,,2023-07-06,12:51:01,nan,nan,nan,101.383,26.1271,101.037,37.4037,0,0,26.09,-16000,0,16.2749,228
DATA,1688662262,37553071,241,256,,2023-07-06,12:51:02,nan,nan,nan,101.381,26.1488,101.036,37.4037,0,0,26.1107,-16000,0,16.2738, 67
DATA,1688662263,37553071,245,256,,2023-07-06,12:51:03,nan,nan,nan,101.38,26.1707,101.034,37.4037,0,0,26.1316,-16000,0,16.2722, 11
DATA,1688662264,37553071,249,256,,2023-07-06,12:51:04,nan,nan,nan,101.38,26.1935,101.034,37.4037,0,0,26.1533,-16000,0,16.2706, 23
DATA,1688662265,37553071,253,256,,2023-07-06,12:51:05,nan,nan,nan,101.381,26.216,101.036,37.4037,0,0,26.1751,-16000,0,16.2695, 23
DATA,1688662266,37553071,257,256,,2023-07-06,12:51:06,nan,nan,nan,101.384,26.2388,101.038,37.4037,0,0,26.1967,-16000,0,16.2687,104
DATA,1688662267,37553071,261,256,,2023-07-06,12:51:07,nan,nan,nan,101.383,26.2611,101.037,37.4037,0,0,26.2185,-16000,0,16.2671, 74
DATA,1688662268,37553071,265,256,,2023-07-06,12:51:08,nan,nan,nan,101.379,26.2831,101.034,37.4037,0,0,26.241,-16000,0,16.2663, 30
DATA,1688662269,37553071,269,256,,2023-07-06,12:51:09,nan,nan,nan,101.381,26.3049,101.036,37.4037,0,0,26.263,-16000,0,16.2651, 34
DATA,1688662270,37236928,273,256,,2023-07-06,12:51:10,nan,nan,nan,101.381,26.3255,101.036,37.4037,0,0,26.2838,-16000,0,16.2636, 82
DATA,1688662271,37236928,277,256,,2023-07-06,12:51:11,nan,nan,nan,101.38,26.3459,101.034,37.4037,0,0,26.3049,-16000,0,16.2628, 39
DATA,1688662272,37236928,281,256,,2023-07-06,12:51:12,nan,nan,nan,101.381,26.3672,101.035,37.4037,0,0,26.3267,-16000,0,16.2616, 82
DATA,1688662273,37236928,285,256,,2023-07-06,12:51:13,nan,nan,nan,101.381,26.3881,101.036,37.4037,0,0,26.3484,-16000,0,16.2604, 89
DATA,1688662274,37236928,289,256,,2023-07-06,12:51:14,nan,nan,nan,101.381,26.4101,101.035,37.4037,0,0,26.3704,-16000,0,16.2596, 85
DATA,1688662275,37236928,293,256,,2023-07-06,12:51:15,nan,nan,nan,101.382,26.4308,101.037,37.4037,0,0,26.392,-16000,0,16.2589, 48
